title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Renaissance: A Film by Beyoncé,"$33,345,324","$43,445,324",AMC Theaters,"$21,801,216",2539,N/A,N/A,"Documentary,Music",34
The Shift,"$11,989,414","$12,010,322",Angel Studios,"$4,300,165",2450,N/A,PG-13,Sci-Fi,34
The Holdovers,"$18,291,985","$19,802,871",Focus Features,"$211,093",6,N/A,R,"Comedy,Drama",69
American Fiction,"$1,843,763","$1,843,763",Metro-Goldwyn-Mayer (MGM),"$224,469",7,N/A,R,"Comedy,Drama",20
Dunki,"$7,460,159","$13,251,522",Yash Raj Films USA Inc.,"$2,714,469",551,N/A,N/A,"Comedy,Drama",14
Napoleon,"$60,763,185","$206,963,185",Columbia Pictures,"$20,638,887",3500,N/A,R,"Action,Adventure,Biography,Drama,History,War",43
Godzilla Minus One,"$46,727,955","$85,623,183",Toho International,"$11,419,975",2308,N/A,PG-13,"Action,Adventure,Drama,Horror,Sci-Fi",34
Wish,"$61,353,417","$180,417,518",Walt Disney Studios Motion Pictures,"$19,698,228",3900,N/A,PG,"Adventure,Animation,Comedy,Family,Fantasy,Musical",43
The Boy and the Heron,"$37,065,650","$134,156,853",GKIDS,"$13,011,722",2205,N/A,PG-13,"Adventure,Animation,Drama,Family,Fantasy",27
Poor Things,"$11,434,420","$12,419,780",Searchlight Pictures,"$661,230",9,N/A,R,"Comedy,Drama,Romance,Sci-Fi",27
Trolls Band Together,"$98,579,825","$199,111,825",Universal Pictures,"$30,002,525",3870,N/A,PG,"Adventure,Animation,Comedy,Family,Fantasy,Music",48
The Iron Claw,"$18,221,133","$18,221,133",A24,"$4,868,370",2774,N/A,R,"Biography,Drama,Sport",13
Ferrari,"$12,489,827","$19,481,422",Neon,"$3,921,773",2386,N/A,R,"Biography,Drama,History",10
The Hunger Games: The Ballad of Songbirds & Snakes,"$161,163,157","$323,163,157",Lions Gate Films,"$44,607,143",3776,N/A,PG-13,"Action,Adventure,Drama,Sci-Fi,Thriller,War",48
The Boys in the Boat,"$25,778,289","$25,778,289",Amazon/MGM,"$8,400,548",2557,N/A,PG-13,"Biography,Drama,Sport",10
Anyone But You,"$30,071,658","$35,871,658",Columbia Pictures,"$6,000,344",3055,N/A,R,"Comedy,Romance",13
The Color Purple,"$48,124,897","$48,124,897",Warner Bros.,"$11,737,072",3203,N/A,PG-13,"Drama,Musical",10
Aquaman and the Lost Kingdom,"$85,275,070","$258,875,070",Warner Bros.,"$27,686,211",3706,N/A,PG-13,"Action,Adventure,Fantasy,Sci-Fi",13
Migration,"$62,961,070","$117,271,638",Universal Pictures,"$12,453,275",3761,N/A,PG,"Action,Adventure,Animation,Comedy,Family,Fantasy",13
